127.0.0.1 - - [30/Mar/2017:10:28:13 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:28:14 +0200] "GET /SmartHomeControlBoard/ HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:29:35 +0200] "GET /SmartHomeControlBoard/ HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:29:35 +0200] "GET /SmartHomeControlBoard/ HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:29:48 +0200] "GET /SmartHomeControlBoard/ HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:04 +0200] "GET /SmartHomeControlBoard/ HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:04 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:04 +0200] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:04 +0200] "GET /SmartHomeControlBoard/starter-template.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:04 +0200] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:04 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:04 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:25 +0200] "GET /SmartHomeControlBoard/ HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:25 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:25 +0200] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:25 +0200] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:25 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:25 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:25 +0200] "GET /SmartHomeControlBoard/starter-template.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:52 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:52 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:39:53 +0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:07 +0200] "GET /SmartHomeControlBoard/ HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:07 +0200] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:07 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:07 +0200] "GET /SmartHomeControlBoard/starter-template.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:07 +0200] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:07 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:07 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:08 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:08 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:08 +0200] "GET /SmartHomeControlBoard/ HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:08 +0200] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:08 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:08 +0200] "GET /SmartHomeControlBoard/starter-template.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:08 +0200] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:08 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:08 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:09 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:09 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:22 +0200] "GET /SmartHomeControlBoard/ HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:22 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:22 +0200] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:22 +0200] "GET /SmartHomeControlBoard/starter-template.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:22 +0200] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:22 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:22 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:22 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:22 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:44 +0200] "GET /SmartHomeControlBoard/ HTTP/1.1" 200 3399
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:44 +0200] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:44 +0200] "GET /SmartHomeControlBoard/starter-template.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:44 +0200] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:44 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:44 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:44 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:10:40:44 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:20:43 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:20:43 +0200] "GET /dist/css/bootstrap.min.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:20:43 +0200] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:20:43 +0200] "GET /SmartHomeControlBoard/navbar.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:20:43 +0200] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:20:43 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:20:43 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:12 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 4747
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:12 +0200] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:12 +0200] "GET /SmartHomeControlBoard/navbar.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:12 +0200] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:12 +0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [30/Mar/2017:13:21:12 +0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
